id,restaurant_id,area,driver_earnings,restaurant,vendor,total_fare
4,919,0,3.54,3.54,0.00,0
",7",910,0,6.00,0.00,0.00,0
",8",910,1,7.00,0.00,0.00,0
",9",910,2,8.00,0.00,0.00,0
",10",910,3,9.00,0.00,0.00,0
",11",922,0,3.99,0.00,0.00,0
",15",929,0,3.54,3.54,0.00,0
",37",928,0,3.54,3.54,0.00,0
",38",911,0,3.54,3.54,0.00,0
",39",911,1,3.54,3.54,0.00,0
",44",138,0,3.54,3.54,0.00,0
",45",138,1,3.54,3.54,0.00,0
",51",931,0,3.54,3.54,0.00,0
",53",137,0,3.54,3.54,0.00,0
",56",137,1,4.20,4.20,0.00,0
",57",137,2,4.87,4.87,0.00,0
",58",137,3,5.53,5.53,0.00,0
",59",203,0,4.00,4.00,0.00,0
",60",255,0,4.00,4.00,0.00,0
",61",323,0,4.00,4.00,0.00,0
