"id";"name (english)";"nom(francais)";"short_name"
"1";"Ontario";"Ontario";"on"
"2";"Quebec";"Qu�bec";"qc"
"3";"Nova Scotia";"Nouvelle-�cosse";"ns"
"4";"New Brunswick";"Nouveau-Brunswick";"nb"
"5";"Manitoba";"Manitoba";"mb"
"6";"British Columbia";"Colombie-Britannique";"bc"
"7";"Prince Edward Island";"�le-du-Prince-�douard";"pe"
"8";"Saskatchewan";"Saskatchewan";"sk"
"9";"Alberta";"Alberta";"ab"
"10";"Newfoundland and Labrador";"Terre-Neuve-et-Labrador";"nl"
"11";"Yukon";"Yukon";"yt"
"12";"Northwest Territories";"Les Territoires du Nord-Ouest";"nt"
"13";"Nunavut";"Nunavut";"nu"
